date,division,unemployment
2019-05-07,MARTES,123
2019-05-08,MIERCOLES,107
2019-05-09,JUEVES,106
2019-05-10,VIERNES,96
2019-05-11,SABADO,106
2019-05-12,DOMINGO,75
2019-05-13,LUNES,112
2019-05-14,MARTES,97
2019-05-15,MIERCOLES,91
2019-05-16,JUEVES,111
2019-05-17,VIERNES,111
2019-05-18,SABADO,81
2019-05-19,DOMINGO,50
2019-05-20,LUNES,87
2019-05-21,MARTES,89
2019-05-22,MIERCOLES,85
2019-05-23,JUEVES,96
2019-05-24,VIERNES,119
2019-05-25,SABADO,94
2019-05-26,DOMINGO,58
2019-05-27,LUNES,94
2019-05-28,MARTES,107
2019-05-29,MIERCOLES,99
2019-05-30,JUEVES,105
2019-05-31,VIERNES,119
2019-06-01,SABADO,101
2019-06-02,DOMINGO,62
2019-06-03,LUNES,59
2019-06-04,MARTES,99
2019-06-05,MIERCOLES,94
2019-06-06,JUEVES,99
2019-06-07,VIERNES,86
2019-06-08,SABADO,111
2019-06-09,DOMINGO,54
2019-06-10,LUNES,83
2019-06-11,MARTES,101
2019-06-12,MIERCOLES,69
2019-06-13,JUEVES,88
2019-06-14,VIERNES,103
2019-06-15,SABADO,82
2019-06-16,DOMINGO,67
2019-06-17,LUNES,100
2019-06-18,MARTES,98
2019-06-19,MIERCOLES,89
2019-06-20,JUEVES,99
2019-06-21,VIERNES,102
2019-06-22,SABADO,96
2019-06-23,DOMINGO,40
2019-06-24,LUNES,51
2019-06-25,MARTES,95
2019-06-26,MIERCOLES,116
2019-06-27,JUEVES,92
2019-06-28,VIERNES,77
2019-06-29,SABADO,81
2019-06-30,DOMINGO,40
2019-07-01,LUNES,38
2019-07-02,MARTES,98
2019-07-03,MIERCOLES,84
2019-07-04,JUEVES,78
2019-07-05,VIERNES,84
2019-07-06,SABADO,101
2019-07-07,DOMINGO,64
2019-07-08,LUNES,93
2019-07-09,MARTES,117
2019-07-10,MIERCOLES,82
2019-07-11,JUEVES,87
2019-07-12,VIERNES,88
2019-07-13,SABADO,102
2019-07-14,DOMINGO,61
2019-07-15,LUNES,105
2019-07-16,MARTES,85
2019-07-17,MIERCOLES,89
2019-07-18,JUEVES,99
